polarity,tweet
0.0,SEE YOU SHORTLY FAM sundayschoolnairobi afirikaman fadhileemusic playkemusic instalive quarantine
0.0,From Karuna to Lockdown Yadav Shramik trains play cradle to over three dozen newborns
0.0,Guidelines instructions on lockdown of Jammu KashmirCoronavirusCOVID19GreenZonesGuidelinesLockdown
0.0,MattHancock BorisJohnson Dear Bob HopeJ U S T A D M I T Y O U R EW R O N G
0.0,Animal Miike Snow covid19 lockdown run nature newbridge newbridgehouse park donabate
0.5,Anybody that started writing a screenplay inspired by the world at the beginning of lockdown is now surely on the 1700th redraft
0.0,My toon for thesundaytimes Atticus column Quarantine lockdown
-0.6,Why have I not seen 1 fucking doctor on MSM advise people to boost their immune system with Vitamins C D amp Zinc
0.5,Lockdown ArianaGrande JustinBieber StuckWithU Who else is enjoying sitting in their room playing games and li
0.1666666666666667,I wont be surprised to see another huge spike in Corona cases in Mumbai and another Lockdown is definitely on cards
1.0,Perfect pasta divine drinks an ecoconscious festival amp talks with a stylist to the stars oh yes amp the chance
0.0,CORONAVIRUS If there is no spike in COVID19 cases in about three weeks around London we will know the lockdown
0.0,Friday party in dubai Dance dubailife lockdown coronavirus
0.6,G I F T E D Be honest girls what percentage of lockdown are you spending in your pjsIf its over 50 you need t
0.25,Edelweiss Infra Yield Plus Fund acquires annuity road assets from NavayugaECL Group One of the first infrastructu
0.125,Geocaching and lockdown have introduced us to some lovely local curiosities such as a different type of bunker o
0.5,Youve got to love it PS4share clutchplays justgames PS4 CallofDuty Lockdown ModernWarfare Nairobi Xbox
0.0,Episode 3 of Colin Jones starring and featuring music by CJaySongs is now on our YouTube channel
0.0,StayHomeSaveLives and get start OnlineLearning from BestOnlineLearningPlatform Udemyand get lots of sav
0.0,Since the Daiquiri has been adapted plenty of times one of our favourite versions is the simple Strawberry Daiquir
0.0,austriandreamhouse austrianalps loveaustria discoveraustria austrianblogger karnten renovationproject
0.0,Spectrogram created by DataScientist at artesia showing the impact of UK lockdown on water consumption through
0.0,In case you missed itWe will miss the coronavirus lockdown Heres why Will you lockdown covid stayhome
0.13333333333333333,A set of people wants to open up the lockdown another set wants to keep it till the curve slides downEconomists
0.4,KareenaKapoorKhan Saif Ali Khan and Taimur headed out to enjoy a walk at MarineDriveSaifAliKhan
0.85,If there was ever a perfect time to practice good hygiene etiquette it is now With a pandemic putting countries i
0.4,Huge congratulation to Rally Sweden Lockdown winner OliverSolberg01 What a fantastic driving from start to f
0.35,How We Celebrated What Should Have Been Our Wedding Day lockdown wedding
-0.4,Hows the fuck the NHS marches going lockdown AllLivesMatter
-0.26666666666666666,Put a suit on today First time in how long lockdown boring
0.0,The dinner setup with the neighbors nairobi kenya SocialDistancing StayHome Africa formaldinner lockdown
-0.05833333333333333,Covid19 Lockdown TorySpinAgain Weston General had closed its doors due to a spike in coronavirus cases thi
0.0,Machine Learning This course helps me understand the definition and types of machine learningData
0.0,Hope we have distinguished between need and want during this lockdown lockdown need want
0.4,Thats filled another day lockdown staysafeathome teasses
0.8,This image from LodwarCathedral seems apt today as I struggle for the best way to stand in solidarity with
0.0,Day 72 of Lockdown
0.2857142857142857,One Direction Right Now Guitar Coveronedirection rightnow guitar cover quarantinelife qurantine
-0.09107142857142858,Sundays happening lockdown making it looks a normal day Im sick and tired of this kind of situation I know it w
0.0,freckledpedidoc confusedmass lunchbreath FutureDocs DoctorVig DrScottK DrCJohns DocEMurray
0.2,There are two kinds of people in this world Those who say Play Fast in Ludo and those who play fast in Ludo
0.05,Waterloo Grill near Waterloo Station has now reopened Taken on the 2nd June 2020 coronavirus coronavirusuk
0.056818181818181816,Big While JampK administration announces ease in lockdown620 Positive Cases found in last 24 hours Total Mark cro
-0.1,Grab a cuppa and catch up on whats been happening at EmmausCambridge over the last few months
0.0,Another Lockdown Day doneGoing to watch the tellyboxIts the Final killingEve later
0.0,2 meters MyPlansVs2020 lockdown pineapple pizza Foodhub food sundayvibes My plan
0.0,FT RishiSunak RishiSunak Ask sage and all those epidemiologists for their impact analysis of lockdown And
-0.15555555555555559,Sky planner down to 33 used boredoftvnow lockdown
0.0,Realistically when will it end britishmemes british bbc tiktok lockdown lockdown2020 funnymemes
0.0,A weekend in Paris before COVID19 lockdown This helped me relive those travels before it changed forever
0.0,No lockdown penguin themed project this weekend Instead a Geography themed one
-0.30000000000000004,ThisisRudi AmiraTharani EduAfs ReligiousRC Its slow work Rudi and LockDown hasnt helped being an extrovert
0.1375,TuksNetball LockDownDiaryAutillia of TuksLions is advising other athletes to keep fit and practicing their ne
0.0,I think I broke my Switch Lockdown QuarantineLife
0.2,This is the real lockdown not in your Karachi and LahoreIts Astor
0.8,thevoiceuk RealSirTomJones Happy birthday RealSirTomJones not a voice clip but 1969 Tom introduced Mary Hopkin
0.0,ICMRDELHI MoHFWINDIA IMAIndiaOrgLockdownFailed lockdownindia COVID19COVID19India coronavirusOur
0.5,Lockdown COVID19 Relaxation with lockdown will have many reasons but COVID19 will not be relaxed out of it i
-0.4,lockdown mein itnii bore hogye Hon k DaanishTaimoor ka ghattya tareen game show daikhna parh rha hai Why they r promoting Bully
0.1,I really need to stop finding it acceptable to eat an entire banana bread within one day of making it bananabread lockdown
0.0,The continued caution prolonging lockdown in Scotland is looking like it is paying off Shame the PM et al did no
0.0,Never in my life did I imagine a scenario where Id have to book online for an appointment to go the tip aka recycling centre lockdown
0.0,Alan Self isolation Day 14 Alans Girlfriend animation animated Quarantine
0.0,NeilRobertsons an inspiration to us all that hairstyle its so 2020 snooker coronavirus lockdown nr147
-0.5,Things are going to get worse after the lockdown is lifted as the labour are desperate to get wages work chances
0.5,More Orwellian datatracking to usher in a SchoolWorldOrderCOVID19 coronavirus lockdown data
-0.5,Dear Valued Customerskuwait alnasser we would inform you unable delivery products lockdown secured
0.4333333333333333,Mutahida MajliseUlema Jammu amp Kashmir headed by incarcerated Mirwaiz Umar Farooq has strongly condemned att
0.2875,Pretty windy StOuensBay Jersey ChannelIslands yesterday lunchtime but very pretty as well in fact
0.0,We are all reminiscing especially during lockdown I do today though only because our rules and regulations are
0.7,Happiness package dropped to the teenager Drinks snacks cake and school books Balance spreadkindness lockdown
0.2,MahyarTousi As a thanks for all you do Ive asked the government a question on your behalf downingstreet
0.0,Im quite emotional at having reached this with anleomhann The tionndadh Gidhlig of CSLewiss Narnia has been
0.14285714285714285,No one is questioning her right to protest But her hypocrisy is blatantly obvious
0.0,After relaxation in lockdown lakhs of people have travelled across the country Coronavirus COVID19 COVID
0.0,jmb1256 Out of practice after LockDown
0.3,Worth listening to World Renowned Immunologist amp Molecular Biologist Prof Dolores Cahill on why the lockdown is kil
0.0,U think u know But you have no idea solidgold goldlovers becauseyoureworthit luxurylifestyle solidgold
0.0,Gourmet Delights at 15 off with gourmet passport membership from EastIndiaRoom raajkutir KolkataOrder here
0.21428571428571427,IrvineWelsh Corned beef hash beetroot Bulmers cider amp a large Shiraz I blame lockdown
0.8,tishblm ColetteMcDonne7 Dublins nightlifes not that feckin great during Lockdown
0.0,On air at 5pm englishdiscolovers with Sam Moffett Dance your lockdown cares away Show generously su
0.0,Easing lockdown will send corona virus out of control scientists warn stayhome covid19
0.0,We also wanted to say thank you to brad123owen Caireens husband for volunteering during lockdown and especially
0.0,Pic credit pixabay Thane courts should start work from Jul 1 Bar association
-0.11249999999999999,My latest paintingAvailable from my studio dont be afraid to get in touchI am well aware it is a cynical an
0.0,Alan Self isolation Day 20 Is Alan the antichrist Lockdown3 lockdown lockdownextension
0.0,Swiss chard grown at home during Lockdown
0.15,When We Use To Party gooddays missing party love fashion style fashionblogger hair makeup dress
0.0,This afternoons film starwars Episode IX The Rise of Skywalker 2019 Again Daisy Ridley Rey and Adam Driv
0.0,Chipotle in Baker Street has now reopened Taken on the 29th May 2020 coronavirus coronavirusuk London
0.0,KhyaalRakhyaKar releasing on 10th June featuring imrealasim amp realhimanshiasimriaz
0.016666666666666666,As the UK emerges from lockdown theres growing signs that the current 2 metre social distancing rule will be rev
0.0,There is a silver lining around the cloud of employment situations Worker conditions improve where there isnt eno
0.13333333333333333,Symbolic Many felt to pray outside closed mosques impacted by the mosque closures The mosques will reopened soo
0.13636363636363635,My lockdown project going live on YouTube on Thursday 1106 from 6pm UK time
0.05,coronavirus lockdown COVID19Dharavi shows signs of flattening of coronavirus curve cases fall In apparent si
-0.5,Im angry at realDonaldTrump for calling pandemic lockdown to begin the covid19 debacle But he isnt the deli
0.0,WalesOnline Four people who drove from Southampton ignored the lockdown rules of the Welsh Government and put the
-0.6,clapfornhs queuing for miles at mcdonaldsuk packing beaches too dangerous to go to work too dangerous to s
0.0,Zoom was used by businesses around the world as lockdowns kept workers at home It showed owners that video confere
0.0,While organisations working with labourers workers raise concerns about the possibility of exploitation after lock
0.0,Bollywood actor Sonu Sood has been receiving a lot of praise for his humanitarian deeds during lockdown
0.0,START YOUR DAY w Daily Advice Tips Support amp MoreBest Movies on Netflix
0.41111111111111115,Lockdown is important to make sure the virus does not spread quickly from person to person Bjpservesindia
0.14166666666666666,Have people forgot about social distancing rules My social media is full of people living normal lives having f
-0.6,Going stir crazy Lockdown Hoping this might take my mind off things
0.0,Order byWickr me plugstore420Snapchat dealerdrugshuaweip30pro torino landscape paesaggio mountains
0.0,Museums around the world in London Vienna and WashingtonDC are collecting material to document life during the
0.0,GUJ GOSHTI EPISODE 5 Mr Datta Joshi Motivational Author via YouTube do watch like com
